timestamp,millis,temperature_C,humidity_pct,soil_moisture_pct,buzzer_state
2026-09-13T12:42:18+05:30,2662,26.70,46.00,11,0
2026-09-13T12:42:20+05:30,4724,26.70,46.00,11,0
2026-09-13T12:42:22+05:30,6785,26.70,46.00,11,0
2026-09-13T12:42:24+05:30,8846,26.70,46.00,11,0
2026-09-13T12:42:26+05:30,10907,26.70,46.00,11,0
2026-09-13T12:42:28+05:30,12968,26.70,46.00,11,0
2026-09-13T12:42:30+05:30,15029,26.70,46.00,11,0
2026-09-13T12:42:32+05:30,17090,26.70,46.00,11,0
2026-09-13T12:42:34+05:30,19151,26.70,46.00,11,0
2026-09-13T12:42:36+05:30,21212,26.70,46.00,12,0
2026-09-13T12:42:38+05:30,23273,26.70,46.00,12,0
2026-09-13T12:42:40+05:30,25334,26.70,46.00,11,0
2026-09-13T12:42:42+05:30,27395,26.70,46.00,12,0
2026-09-13T12:42:45+05:30,29456,26.70,46.00,11,0
2026-09-13T12:42:47+05:30,31517,26.70,46.00,11,0
2026-09-13T12:42:49+05:30,33578,26.70,46.00,12,0
2026-09-13T12:42:51+05:30,35639,26.70,46.00,12,0
2026-09-13T12:42:53+05:30,37700,26.70,46.00,11,0
2026-09-13T12:42:55+05:30,39761,26.70,46.00,11,0
2026-09-13T12:42:57+05:30,41822,26.70,46.00,12,0
2026-09-13T12:42:59+05:30,43883,26.70,46.00,12,0
2026-09-13T12:43:01+05:30,45944,26.70,46.00,11,0
2026-09-13T12:43:03+05:30,48005,26.70,46.00,11,0
2026-09-13T12:43:05+05:30,50066,26.70,46.00,12,0
2026-09-13T12:43:07+05:30,52127,26.70,46.00,12,0
2026-09-13T12:43:09+05:30,54188,26.70,46.00,9,0
2026-09-13T12:43:11+05:30,56248,26.70,46.00,32,0
2026-09-13T12:43:13+05:30,58309,26.70,46.00,49,1
2026-09-13T12:43:15+05:30,60370,26.70,46.00,3,0
2026-09-13T12:43:18+05:30,62430,26.70,46.00,11,0
2026-09-13T12:43:20+05:30,64491,26.70,46.00,5,0
2026-09-13T12:43:22+05:30,66551,26.70,46.00,8,0
2026-09-13T12:43:24+05:30,68611,26.70,46.00,11,0
2026-09-13T12:43:26+05:30,70672,26.70,46.00,12,0
2026-09-13T12:43:28+05:30,72733,26.70,46.00,15,0
2026-09-13T12:43:30+05:30,74794,26.70,46.00,13,0
2026-09-13T12:43:32+05:30,76855,26.70,46.00,12,0
2026-09-13T12:43:34+05:30,78916,26.70,46.00,14,0
