timestamp,village_id,village_name,district,rain_accum_1h,rain_accum_3h,rain_accum_6h,rain_accum_24h,rain_intensity_max_1h,rain_rate_of_change,forecast_rain_next_6h,soil_moisture_pct,soil_saturation_ratio,river_water_level_m,river_level_rise_rate_1h,upstream_gauge_delta_2h,elevation_m,slope_deg,twi,dist_to_river_m,catchment_area_km2,drainage_density_km_km2,scs_curve_number,danger_stage_m,risk_score,lead_time_hrs,flash_flood_3_6h
2024-05-01T00:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.81,3.91,7.82,19.07,1.32,0.08,5.66,30.19,0.302,1.41,0.015,0.071,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.8,12.0,0
2024-05-01T03:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.01,2.51,5.58,14.46,0.87,0.04,3.46,30.99,0.31,1.41,0.008,-0.082,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.8,12.0,0
2024-05-01T06:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.09,0.66,2.65,10.22,0.24,-0.83,4.11,30.95,0.31,1.41,-0.0,0.033,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.6,12.0,0
2024-05-01T09:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.24,2.45,5.27,12.37,0.97,-0.8,5.47,31.66,0.317,1.42,0.007,-0.002,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.8,12.0,0
2024-05-01T12:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.16,1.89,3.58,18.79,0.66,-1.47,4.16,31.89,0.319,1.42,0.004,0.065,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.8,12.0,0
2024-05-01T15:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.21,3.46,10.11,33.52,1.36,0.54,0.71,33.99,0.34,1.43,0.01,0.027,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-01T18:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.06,1.13,3.98,12.0,0.44,-1.55,4.34,34.33,0.343,1.43,-0.001,-0.038,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.8,12.0,0
2024-05-01T21:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.04,0.33,5.53,21.43,0.11,0.83,6.17,35.12,0.351,1.43,-0.004,0.048,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.7,12.0,0
2024-05-02T00:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.02,0.4,5.04,18.56,0.14,-0.38,2.6,35.77,0.358,1.43,-0.003,-0.018,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.7,12.0,0
2024-05-02T03:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.35,3.58,8.8,20.81,1.36,0.16,6.17,37.49,0.375,1.44,0.011,0.097,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.1,12.0,0
2024-05-02T06:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.18,1.76,3.3,8.55,0.59,-1.62,4.07,37.64,0.376,1.44,0.002,0.062,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.9,12.0,0
2024-05-02T09:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.64,2.9,9.0,22.55,0.98,-1.01,7.44,39.42,0.394,1.44,0.007,-0.008,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.1,12.0,0
2024-05-02T12:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.45,3.77,10.81,26.02,1.48,1.17,7.17,41.73,0.417,1.45,0.01,0.031,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.3,12.0,0
2024-05-02T15:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.1,0.95,3.85,18.29,0.37,-0.19,3.34,42.03,0.42,1.45,-0.004,-0.006,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.9,12.0,0
2024-05-02T18:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.07,1.19,6.86,18.96,0.44,-1.14,7.77,43.2,0.432,1.45,-0.002,0.077,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-02T21:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.89,3.8,8.34,21.76,1.27,-0.14,0.41,44.79,0.448,1.46,0.01,0.146,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.4,12.0,0
2024-05-03T00:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.09,0.95,2.43,11.22,0.38,0.57,6.09,44.69,0.447,1.45,-0.004,-0.052,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-03T03:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.07,1.29,5.49,19.68,0.48,-1.19,0.33,45.46,0.455,1.45,-0.002,-0.02,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-03T06:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.24,0.68,3.78,11.03,0.27,0.34,3.09,45.75,0.457,1.45,-0.004,-0.042,2050,28.5,7.2,45,380.0,2.8,82,4.8,11.9,12.0,0
2024-05-03T09:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.75,2.96,5.9,24.07,1.16,0.61,6.54,46.64,0.466,1.45,0.006,-0.043,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.3,12.0,0
2024-05-03T12:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.22,1.29,2.8,16.92,0.51,-1.64,2.79,46.64,0.466,1.45,-0.002,0.067,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-03T15:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.35,3.57,10.33,30.42,1.21,0.09,0.04,48.81,0.488,1.46,0.009,-0.013,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.5,12.0,0
2024-05-03T18:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.05,2.2,7.22,18.57,0.84,-0.95,5.97,50.08,0.501,1.46,0.002,-0.043,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.3,12.0,0
2024-05-03T21:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.28,2.71,7.72,18.1,0.97,-1.09,7.78,51.49,0.515,1.47,0.004,-0.024,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.4,12.0,0
2024-05-04T00:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.13,2.24,8.01,23.66,0.83,-1.61,5.78,52.99,0.53,1.47,0.001,0.013,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.4,12.0,0
2024-05-04T03:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.09,2.17,4.79,21.82,0.86,-0.42,0.12,53.57,0.536,1.47,0.001,0.05,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.3,12.0,0
2024-05-04T06:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.71,4.75,13.37,39.65,1.68,0.85,2.54,56.6,0.566,1.48,0.014,0.014,2050,28.5,7.2,45,380.0,2.8,82,4.8,13.0,12.0,0
2024-05-04T09:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.05,2.94,8.77,26.13,1.0,-0.14,7.02,58.32,0.583,1.49,0.003,-0.037,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.7,12.0,0
2024-05-04T12:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.36,3.06,7.3,19.58,1.18,0.1,7.31,59.61,0.596,1.49,0.004,0.034,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.8,12.0,0
2024-05-04T15:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.19,2.9,8.47,27.05,1.12,-0.52,3.0,61.24,0.612,1.49,0.003,0.058,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.8,12.0,0
2024-05-04T18:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.03,0.18,2.65,12.33,0.06,-0.61,0.3,61.2,0.612,1.48,-0.012,0.005,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-04T21:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.47,1.6,5.48,21.3,0.55,-0.93,0.41,61.98,0.62,1.48,-0.003,0.022,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.4,12.0,0
2024-05-05T00:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.2,2.44,8.03,29.38,0.9,0.85,2.17,63.48,0.635,1.48,0.002,-0.014,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.6,12.0,0
2024-05-05T03:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.16,0.48,5.68,22.53,0.18,-1.4,1.25,64.31,0.643,1.47,-0.008,-0.013,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.1,12.0,0
2024-05-05T06:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.08,2.35,7.52,19.91,0.93,0.18,4.89,65.67,0.657,1.48,0.002,0.099,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.6,12.0,0
2024-05-05T09:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.15,1.45,6.4,14.25,0.49,0.24,3.79,66.71,0.667,1.47,-0.003,0.049,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.3,12.0,0
2024-05-05T12:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.03,1.49,3.55,13.02,0.54,1.34,0.36,66.93,0.669,1.47,-0.002,0.077,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.3,12.0,0
2024-05-05T15:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.13,1.84,7.59,24.61,0.63,-0.0,0.21,68.31,0.683,1.47,0.0,-0.017,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.5,12.0,0
2024-05-05T18:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.24,2.35,6.16,21.28,0.85,0.49,3.09,69.28,0.693,1.47,0.003,0.021,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.6,12.0,0
2024-05-05T21:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.88,2.87,5.51,13.33,0.96,0.08,0.57,70.06,0.701,1.48,0.006,-0.01,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.8,12.0,0
2024-05-06T00:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.1,0.34,4.68,13.69,0.12,0.75,7.02,70.6,0.706,1.47,-0.009,0.075,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.0,12.0,0
2024-05-06T03:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.36,1.78,4.09,18.0,0.69,-0.22,2.98,70.97,0.71,1.47,0.0,0.019,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.5,12.0,0
2024-05-06T06:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.4,3.84,11.21,29.81,1.47,-0.61,7.22,73.39,0.734,1.48,0.012,0.042,2050,28.5,7.2,45,380.0,2.8,82,4.8,13.2,12.0,0
2024-05-06T09:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.19,1.45,7.1,20.28,0.49,0.12,7.6,74.63,0.746,1.48,-0.003,0.005,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.5,12.0,0
2024-05-06T12:00:00,VIL_001,Manali Urban (Old Manali),Kullu,0.23,1.94,4.96,14.87,0.73,0.57,6.32,75.25,0.753,1.48,0.0,0.048,2050,28.5,7.2,45,380.0,2.8,82,4.8,12.6,12.0,0
